Team name,Head coach,Manager,URL,Logo link
Converge FiberXers,Mr. Franco Atienza,,https://www.pba.ph/teams/converge-fiberxers,https://dashboard.pba.ph/assets/logo/converge-logo2.png
Barangay Ginebra San Miguel,Mr. Earl Timothy Cone,,https://www.pba.ph/teams/barangay-ginebra-san-miguel,https://dashboard.pba.ph/assets/logo/Ginebra150.png
Blackwater Bossing,Mr. Jeffrey Cariaso,,https://www.pba.ph/teams/blackwater-elite,https://dashboard.pba.ph/assets/logo/Blackwater_new_logo_2021.png
North Port Batang Pier,Mr. Bonnie Tan,,https://www.pba.ph/teams/globalport-batang-pier,https://dashboard.pba.ph/assets/logo/GLO_web.png
Terrafirma Dyip,Mr. Raymund Tiongco,,https://www.pba.ph/teams/terrafirma-dyip,https://dashboard.pba.ph/assets/logo/terrafirma.png
Meralco Bolts,Mr. Luigi Trillo,,https://www.pba.ph/teams/meralco-bolts,https://dashboard.pba.ph/assets/logo/web_mer.png
NLEX Road Warriors,Joseph Uichico,,https://www.pba.ph/teams/nlex-road-warriors,https://dashboard.pba.ph/assets/logo/web_nlx.png
Rain or Shine Elastopainters,Mr. Yeng Guiao,,https://www.pba.ph/teams/rain-or-shine-elastopainters,https://dashboard.pba.ph/assets/logo/web_ros.png
San Miguel Beermen,Mr. Leo Austria,,https://www.pba.ph/teams/san-miguel-beermen,https://dashboard.pba.ph/assets/logo/SMB2020_web.png
TNT Tropang Giga,Mr. Chot Reyes,,https://www.pba.ph/teams/tnt-tropang-giga,https://dashboard.pba.ph/assets/logo/tropang_giga_pba.png
Magnolia Chicken Timplados Hotshots,Mr. Chito Victolero,,https://www.pba.ph/teams/magnolia-hotshots,https://dashboard.pba.ph/assets/logo/magnolia-2022-logo.png
Phoenix Fuel Masters,Mr. Michael Jarin,,https://www.pba.ph/teams/phoenix-fuelmasters,https://dashboard.pba.ph/assets/logo/viber_image_2024-03-05_17-18-02-823.png
Eastern,,,https://www.pba.ph/teams/eastern,https://dashboard.pba.ph/assets/logo/EASTERN_LOGO150.png
